Date,Jour,1,2,3,4,5,Star 1,Star 2,Fichier,Feuille
2018-10-26,Vendredi,5,18.0,21.0,31.0,35.0,6,9,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-23,Mardi,1,2.0,5.0,21.0,32.0,2,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-19,Vendredi,1,3.0,29.0,47.0,48.0,3,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-16,Mardi,15,28.0,37.0,40.0,42.0,1,6,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-12,Vendredi,4,9.0,12.0,31.0,43.0,5,8,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-09,Mardi,3,12.0,36.0,44.0,45.0,8,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-05,Vendredi,8,16.0,24.0,26.0,35.0,3,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-10-02,Mardi,7,17.0,29.0,37.0,45.0,3,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-28,Vendredi,2,4.0,8.0,27.0,50.0,2,9,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-25,Mardi,6,15.0,20.0,30.0,38.0,4,7,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-21,Vendredi,5,7.0,21.0,25.0,37.0,3,4,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-18,Mardi,3,8.0,10.0,32.0,45.0,4,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-14,Vendredi,1,3.0,33.0,40.0,45.0,3,4,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-11,Mardi,9,18.0,32.0,38.0,46.0,2,3,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-07,Vendredi,4,23.0,27.0,31.0,50.0,1,8,euromillions-past-draws-archive (6).xls,Sheet 1
2018-09-04,Mardi,5,14.0,28.0,30.0,47.0,4,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-31,Vendredi,4,30.0,31.0,38.0,42.0,4,6,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-28,Mardi,4,16.0,32.0,42.0,46.0,8,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-24,Vendredi,3,14.0,31.0,36.0,50.0,1,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-21,Mardi,16,23.0,42.0,43.0,49.0,10,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-17,Vendredi,2,15.0,18.0,24.0,43.0,8,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-14,Mardi,1,15.0,18.0,25.0,31.0,9,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-10,Vendredi,18,20.0,36.0,43.0,44.0,3,9,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-07,Mardi,16,28.0,29.0,30.0,36.0,8,10,euromillions-past-draws-archive (6).xls,Sheet 1
2018-08-03,Vendredi,7,26.0,36.0,38.0,43.0,6,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-31,Mardi,20,25.0,34.0,42.0,45.0,6,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-27,Vendredi,11,17.0,22.0,23.0,41.0,6,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-24,Mardi,2,4.0,23.0,39.0,40.0,3,9,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-20,Vendredi,2,15.0,40.0,43.0,46.0,3,6,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-17,Mardi,4,6.0,27.0,48.0,50.0,1,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-13,Vendredi,1,4.0,14.0,21.0,49.0,2,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-10,Mardi,3,8.0,26.0,33.0,45.0,7,10,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-06,Vendredi,8,30.0,33.0,38.0,48.0,2,10,euromillions-past-draws-archive (6).xls,Sheet 1
2018-07-03,Mardi,1,12.0,15.0,29.0,48.0,3,5,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-29,Vendredi,15,21.0,23.0,40.0,48.0,3,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-26,Mardi,15,16.0,20.0,34.0,50.0,4,7,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-22,Vendredi,14,25.0,39.0,41.0,44.0,2,8,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-19,Mardi,7,19.0,26.0,42.0,50.0,4,9,euromillions-past-draws-archive (6).xls,Sheet 1
